Concelho,lat,lon,time,thetao,heatspot_lat,heatspot_lon,geometry,nome_praia,min,max,min2,max2
Peniche,39.37140000000005,-9.339016999999956,2026-08-15T20:00:00Z,18.9090004231548,39.38889,-9.33333302,"c(-9.33901699999996, 39.3714000000001)",Baleal Sul (Peniche),15.667254768017115,19.192760305611788,13.904501999219779,20.955513074409122
Mafra,38.95615500000008,-9.416157999999939,2026-08-15T20:00:00Z,16.7750003217952,38.94444,-9.41666698,"c(-9.41615799999994, 38.9561550000001)",Baleia ou do Sul - Ericeira (Mafra),15.796520809010017,18.462074695823098,14.463743865603476,19.79485163922964
Machico,32.71840000000003,-16.76189999999997,2026-08-15T20:00:00Z,23.5320006427355,32.72222,-16.75,"c(-16.7619, 32.7184)",Banda d'Além (Machico),22.39510348070059,23.583972465882923,21.800668988109422,24.178406958474092
Madalena,38.543450000000064,-28.520839999999964,2026-08-15T20:00:00Z,26.4703311920166,36.83334,-28.58333,"c(-28.52084, 38.5434500000001)",Barca (Madalena),22.936463411570767,24.414407886891407,22.197491173910446,25.153380124551727
Vila do Conde,41.36169800000005,-8.760323999999969,2026-08-15T20:00:00Z,16.9490003300598,41.36111,-8.75,"c(-8.76032399999997, 41.361698)",Barcos (Vila do Conde),15.632143067483932,19.02198406533134,13.93722256856023,20.71690456425504
Silves,37.09981000000005,-8.356969999999933,2026-08-15T20:00:00Z,19.7080004611053,37.08333,-8.36111069,"c(-8.35696999999993, 37.09981)",Barcos/Armação de Pêra Nascente (Silves),16.75392633316627,20.850232548963376,14.705773225267714,22.898385656861933
Ílhavo,40.63361500000008,-8.74949799999996,2026-08-15T20:00:00Z,19.0870004316093,40.63889,-8.75,"c(-8.74949799999996, 40.6336150000001)",Barra Centro - UB5-8 (Ílhavo),15.922302654698774,18.919968165213756,14.423469899441283,20.418800920471245
Ílhavo,40.63827300000003,-8.749973999999952,2026-08-15T20:00:00Z,19.0870004316093,40.63889,-8.75,"c(-8.74997399999995, 40.638273)",Barra Norte - UB1-4 (Ílhavo),15.922302654698774,18.919968165213756,14.423469899441283,20.418800920471245
Ílhavo,40.63116400000007,-8.749848999999926,2026-08-15T20:00:00Z,19.0870004316093,40.63889,-8.75,"c(-8.74984899999993, 40.6311640000001)",Barra Sul - UB9-13 (Ílhavo),15.922302654698774,18.919968165213756,14.423469899441283,20.418800920471245
Vila do Bispo,37.042080000000055,-8.894733999999971,2026-08-15T20:00:00Z,18.2470003917115,37.02778,-8.88888931,"c(-8.89473399999997, 37.0420800000001)",Barranco (Vila do Bispo),15.690262630385208,19.322100151629247,13.874343869763187,21.13801891225127
Portimão,37.119380000000035,-8.563809999999933,2026-08-15T20:00:00Z,19.1350004338892,37.11111,-8.55555534,"c(-8.56380999999993, 37.11938)",Barranco das Canas (Portimão),16.436623634888534,20.200940373744118,14.554465265460744,22.08309874317191
Funchal,32.64649000000003,-16.89766999999995,2026-08-15T20:00:00Z,25.5970007408177,32.63889,-16.83333,"c(-16.8976699999999, 32.64649)",Barreirinha (Funchal),23.135415648333833,24.281054044683138,22.562596450159184,24.853873242857787
