nome_praia,geometry,Concelho,nome_praia_final
Calheta,"c(-17.1749799999999, 32.7191100000001)",Calheta,Calheta (Calheta)
Banda d'Além,"c(-16.7619, 32.7184)",Machico,Banda d'Além (Machico)
Serra de Água,"c(-17.1687899999999, 32.7164300000001)",Calheta,Serra de Água (Calheta)
S. Roque,"c(-16.7642, 32.7162500000001)",Machico,S. Roque (Machico)
Madalena do Mar,"c(-17.13861, 32.7030600000001)",Ponta do Sol,Madalena do Mar (Ponta do Sol)
Anjos-Ponta do Sol,"c(-17.1204799999999, 32.69057)",Ponta do Sol,Anjos-Ponta do Sol (Ponta do Sol)
Palmeiras,"c(-16.78917, 32.6880600000001)",Santa Cruz,Palmeiras (Santa Cruz)
São Fernando,"c(-16.7923499999999, 32.6859600000001)",Santa Cruz,São Fernando (Santa Cruz)
Calhau das Gordas,"c(-16.7936099999999, 32.6845200000001)",Santa Cruz,Calhau das Gordas (Santa Cruz)
Boaventura,"c(-16.7945599999999, 32.68328)",Santa Cruz,Boaventura (Santa Cruz)
Lugar de Baixo,"c(-17.08683, 32.67931)",Ponta do Sol,Lugar de Baixo (Ponta do Sol)
Ponta do Sol,"c(-17.1052799999999, 32.6791700000001)",Ponta do Sol,Ponta do Sol (Ponta do Sol)
Ribeira Brava,"c(-17.06722, 32.67083)",Ribeira Brava,Ribeira Brava (Ribeira Brava)
Calhau da Lapa,"c(-17.03732, 32.6616700000001)",Ribeira Brava,Calhau da Lapa (Ribeira Brava)
Fajã dos Padres,"c(-17.0223999999999, 32.65428)",Ribeira Brava,Fajã dos Padres (Ribeira Brava)
Fajã dos Asnos,"c(-17.0029, 32.6536800000001)",Câmara de Lobos,Fajã dos Asnos (Câmara de Lobos)
Fajã das Bebras,"c(-16.9932499999999, 32.65094)",Câmara de Lobos,Fajã das Bebras (Câmara de Lobos)
Vigário,"c(-16.9789, 32.6483000000001)",Câmara de Lobos,Vigário (Câmara de Lobos)
Reis Magos,"c(-16.82361, 32.6472200000001)",Santa Cruz,Reis Magos (Santa Cruz)
Santiago,"c(-16.89919, 32.64651)",Funchal,Santiago (Funchal)
Barreirinha,"c(-16.8976699999999, 32.64649)",Funchal,Barreirinha (Funchal)
Complexo Balnear das Salinas,"c(-16.9732099999999, 32.64588)",Câmara de Lobos,Complexo Balnear das Salinas (Câmara de Lobos)
Areeiro,"c(-16.95947, 32.64257)",Funchal,Areeiro (Funchal)
Roca Mar,"c(-16.82972, 32.64194)",Santa Cruz,Roca Mar (Santa Cruz)
Formosa,"c(-16.95528, 32.64167)",Funchal,Formosa (Funchal)
Praia Nova,"c(-16.9574, 32.6415900000001)",Funchal,Praia Nova (Funchal)
Galo Mar,"c(-16.83278, 32.6408300000001)",Santa Cruz,Galo Mar (Santa Cruz)
Garajau,"c(-16.8527999999999, 32.6382600000001)",Santa Cruz,Garajau (Santa Cruz)
Gorgulho,"c(-16.9347, 32.6364)",Funchal,Gorgulho (Funchal)
Poças do Gomes-Doca do Cavacas,"c(-16.9479699999999, 32.63561)",Funchal,Poças do Gomes-Doca do Cavacas (Funchal)
Lido-Complexo Balnear,"c(-16.9319399999999, 32.6355600000001)",Funchal,Lido-Complexo Balnear (Funchal)
Clube Naval do Funchal,"c(-16.93889, 32.6347200000001)",Funchal,Clube Naval do Funchal (Funchal)
Complexo Balnear Ponta Gorda-Poças do Governador,"c(-16.9408599999999, 32.63397)",Funchal,Complexo Balnear Ponta Gorda-Poças do Governador (Funchal)
